extract,id,country,city,left,bottom,right,top
canberra_australia,991990c64a4d26c30a95c26dbbca7084,Australia,Canberra,148.564,-35.568,149.721,-34.906
cairns_australia,2108d2c0ad57e36944a96cb5d6df1ce8,Australia,Cairns,145.606,-17.131,145.838,-16.732
bali_indonesia,8962723a9dcbac89eb4ac287c765ecb2,Indonesia,Bali,113.055,-9.517,117.188,-6.995
jakarta_indonesia,6bea0a245f53a7448d1b260c71cae1cb,Indonesia,Jakarta,106.435,-6.615,107.16,-5.881
christchurch_new-zealand,0e366342e2970c224534b8052d96b79c,New Zealand,Christchurch,172.064,-43.68,172.846,-43.285
sunshine-coast_australia,7e13cad4a61eb843493639184b60a631,Australia,Sunshine Coast,152.835,-27.001,153.155,-26.35
kabul_afghanistan,7917c3e359df0b5f0e7a40175b6b6a2f,Afghanistan,Kabul,68.48,34.081,69.86,34.95
kirkuk_iraq,8264610687b2e7f82bae6c76a93687f4,Iraq,Kirkuk,44.284,35.379,44.495,35.524
baku_azerbaijan,3e1ac43bc25b5c86e006d525ae13be24,Azerbaijan,Baku,49.654,40.304,50.056,40.487
adana_turkey,c1c3ee1bbc5cd9328a202071d2c46bbf,Turkey,Adana,35.21,36.95,35.46,37.07
gaza_palestine,1d22833dd853533740230b0503a61d9b,Palestine,Gaza,34.253,31.356,34.667,31.667
jalawla_iraq,c409e45d4b11b11ce37461d6448d4328,Iraq,Jalawla,45.145,34.245,45.186,34.295
bursa_turkey,76890d6cd76b4ae0e7fb0bce58347490,Turkey,Bursa,28.8,40.16,29.23,40.31
tehran_iran,e8f3a75c468b09d39811609598ef5718,Iran,Tehran,50.87,35.383,51.648,35.917
mecca_saudi-arabia,feda56d550d313e053cb075e943faf63,Saudi Arabia,Mecca,39.688,21.279,40.005,21.59
baghdad_iraq,657ee2e704e7e9c1ca766610d8eaa35d,Iraq,Baghdad,43.786,32.967,44.862,33.715
damascus_syria,85e8555df2845c8385fcda5e714b1b4c,Syria,Damascus,35.841,33.112,36.73,33.805
tikrit_iraq,86bc8152262160f489e6dea402b5f086,Iraq,Tikrit,43.628,34.567,43.706,34.688
beer-sheba_israel,c301aeac8270b0104762ff3cc9d5bec1,Israel,Beer Sheba,34.738,31.184,34.87,31.299
jeddah_saudi-arabia,cd67467676cc9b7391be0b0806f8a217,Saudi Arabia,Jeddah,39.029,21.005,39.393,21.905
kayseri_turkey,9065b866833d6186f2ff1aaab864690d,Turkey,Kayseri,35.34,38.6,35.67,38.83
riyadh_saudi-arabia,7d4ccb647246e8816304212fe022c8cf,Saudi Arabia,Riyadh,46.227,24.292,47.202,25.098
dubai_abu-dhabi,e20aec60ac2326ceb4d5dc7570614f57,Abu Dhabi,Dubai,53.58,23.735,56.887,26.539
tel-aviv_israel,352746eef3f71506702a64f84f697429,Israel,Tel Aviv,34.642,31.929,35.052,32.246
ramadi_iraq,4734e346491bfa3771ce6dfe19e06897,Iraq,Ramadi,43.242,33.398,43.337,33.44
manama_bahrain,edc989d5d6c5d62ded468da9494534b8,Bahrain,Manama,50.386,25.542,50.828,26.292
beirut_lebanon,f8cc62b648399424c13d56cb0f71f4b5,Lebanon,Beirut,35.463,33.792,35.583,33.924
doha_qatar,065ca1616c47fd87b596b6b982b61686,Qatar,Doha,51.24,24.951,51.801,25.637
amman_jordan,01d25532012fda5de52439b987c3edfa,Jordan,Amman,35.715,31.668,36.25,32.171
mashhad_iran,5807b0a66ebcda19406ef3fadf457c97,Iran,Mashhad,59.451,36.213,59.692,36.398
tashkent_uzbekistan,6aa7f6ea118c6190e37675b4d31d5747,Uzbekistan,Tashkent,69.097,41.143,69.412,41.399
thuwal_saudi-arabia,24fb9838e09750dd45e3721ff53be1e9,Saudi Arabia,Thuwal,39.05,22.23,39.2,22.5
haditha_iraq,6fa27248e3ed3bda3bfc678961019c78,Iraq,Haditha,42.347,34.075,42.4,34.157
mosul_iraq,7339ac81c64fd1f07166b4c7d80adbb2,Iraq,Mosul,42.844,36.168,43.508,36.523
nicosia_cyprus,b09dc288d9cbd918d638dbce6c12bf86,Cyprus,Nicosia,33.228,35.065,33.49,35.215
izmir_turkey,6bdfcf38bef61a7564d86e26f79abf23,Turkey,Izmir,26.855,38.29,27.304,38.545
jerusalem_israel,0e7ce83d27d8dc862b81de4a3207091c,Israel,Jerusalem,35.072,31.712,35.341,31.866
as-suwayda_syria,3a29a7fd1ee4c0290e136c55fd413c2e,Syria,As Suwayda,36.21,32.198,37.611,33.321
hit_iraq,0af75cd8f3d3e8a05158d3129a295c55,Iraq,Hit,42.787,33.616,42.856,33.668
zhumar_iraq,2c1b31007d00a5d6c432d2c04fe94750,Iraq,Zhumar,42.592,36.646,42.619,36.674
fallujah_iraq,60a20ba6f80f87b7eeec78555dff18b7,Iraq,Fallujah,43.522,33.246,44.013,33.486
baji_iraq,45b7456af6e69776b69ce4e113d9920e,Iraq,Baji,43.46,34.894,43.52,34.959
yerevan_armenia,3a14e12412c5e083fa3778c062b24f5f,Armenia,Yerevan,43.907,39.693,45.276,40.617
sanaa_yemen,ae698f132548656260d42e5c12d06dd2,Yemen,Sanaa,43.938,15.152,44.462,15.534
valparaiso_chile,6651e118eed37ebf4741a24caf63ae5d,Chile,Valparaiso,-71.743,-33.178,-71.232,-32.894
